YEAR,WEEK,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE
2008,1,NYG,WAS,16,7
2008,1,ATL,DET,34,21
2008,1,BUF,SEA,34,10
2008,1,TEN,JAC,17,10
2008,1,MIA,NYJ,14,20
2008,1,NE,KC,17,10
2008,1,NO,TB,24,20
2008,1,PHI,STL,38,3
2008,1,PIT,HOU,38,17
2008,1,BAL,CIN,17,10
2008,1,CLE,DAL,10,28
2008,1,SD,CAR,24,26
2008,1,SF,ARI,13,23
2008,1,IND,CHI,13,29
2008,1,GB,MIN,24,19
2008,1,OAK,DEN,14,41
2008,2,CIN,TEN,7,24
2008,2,DET,GB,25,48
2008,2,KC,OAK,8,23
2008,2,STL,NYG,13,41
2008,2,MIN,IND,15,18
2008,2,WAS,NO,29,24
2008,2,CAR,CHI,20,17
2008,2,JAC,BUF,16,20
2008,2,SEA,SF,30,33
2008,2,TB,ATL,24,9
2008,2,DEN,SD,39,38
2008,2,NYJ,NE,10,19
2008,2,ARI,MIA,31,10
2008,2,CLE,PIT,6,10
2008,2,DAL,PHI,41,37
2008,3,ATL,KC,38,14
2008,3,BUF,OAK,24,23
2008,3,CHI,TB,24,27
2008,3,TEN,HOU,31,12
2008,3,MIN,CAR,20,10
2008,3,NE,MIA,13,38
2008,3,NYG,CIN,26,23
2008,3,WAS,ARI,24,17
2008,3,DEN,NO,34,32
2008,3,SF,DET,31,13
2008,3,SEA,STL,37,13
2008,3,IND,JAC,21,23
2008,3,PHI,PIT,15,6
2008,3,BAL,CLE,28,10
2008,3,GB,DAL,16,27
2008,3,SD,NYJ,48,29
2008,4,CIN,CLE,12,20
2008,4,TEN,MIN,30,17
2008,4,KC,DEN,33,19
2008,4,NO,SF,31,17
2008,4,NYJ,ARI,56,35
2008,4,TB,GB,30,21
2008,4,CAR,ATL,24,9
2008,4,JAC,HOU,30,27
2008,4,OAK,SD,18,28
2008,4,STL,BUF,14,31
2008,4,DAL,WAS,24,26
2008,4,CHI,PHI,24,20
2008,4,PIT,BAL,23,20
2008,5,DET,CHI,7,34
2008,5,GB,ATL,24,27
2008,5,MIA,SD,17,10
2008,5,NYG,SEA,44,6
2008,5,PHI,WAS,17,23
2008,5,CAR,KC,34,0
2008,5,BAL,TEN,10,13
2008,5,HOU,IND,27,31
2008,5,DEN,TB,16,13
2008,5,DAL,CIN,31,22
2008,5,ARI,BUF,41,17
2008,5,SF,NE,21,30
2008,5,JAC,PIT,21,26
2008,5,NO,MIN,27,30
2008,6,ATL,CHI,22,20
2008,6,IND,BAL,31,3
2008,6,MIN,DET,12,10
2008,6,NO,OAK,34,3
2008,6,NYJ,CIN,26,14
2008,6,TB,CAR,27,3
2008,6,WAS,STL,17,19
2008,6,HOU,MIA,29,28
2008,6,DEN,JAC,17,24
2008,6,ARI,DAL,30,24
2008,6,SF,PHI,26,40
2008,6,SEA,GB,17,27
2008,6,SD,NE,30,10
2008,6,CLE,NYG,35,14
2008,7,BUF,SD,23,14
2008,7,CHI,MIN,48,41
2008,7,CIN,PIT,10,38
2008,7,KC,TEN,10,34
2008,7,STL,DAL,34,14
2008,7,MIA,BAL,13,27
2008,7,NYG,SF,29,17
2008,7,CAR,NO,30,7
2008,7,HOU,DET,28,21
2008,7,GB,IND,34,14
2008,7,OAK,NYJ,16,13
2008,7,WAS,CLE,14,11
2008,7,TB,SEA,20,10
2008,7,NE,DEN,41,7
2008,8,DAL,TB,13,9
2008,8,DET,WAS,17,25
2008,8,MIA,BUF,25,16
2008,8,NE,STL,23,16
2008,8,NO,SD,37,32
2008,8,NYJ,KC,28,24
2008,8,PHI,ATL,27,14
2008,8,CAR,ARI,27,23
2008,8,BAL,OAK,29,10
2008,8,JAC,CLE,17,23
2008,8,HOU,CIN,35,6
2008,8,PIT,NYG,14,21
2008,8,SF,SEA,13,34
2008,8,TEN,IND,31,21
2008,9,BUF,NYJ,17,26
2008,9,CHI,DET,27,23
2008,9,CIN,JAC,21,19
2008,9,CLE,BAL,27,37
2008,9,TEN,GB,19,16
2008,9,KC,TB,27,30
2008,9,STL,ARI,13,34
2008,9,MIN,HOU,28,21
2008,9,DEN,MIA,17,26
2008,9,OAK,ATL,0,24
2008,9,NYG,DAL,35,14
2008,9,SEA,PHI,7,26
2008,9,IND,NE,18,15
2008,9,WAS,PIT,6,23
2008,10,CLE,DEN,30,34
2008,10,ATL,NO,34,20
2008,10,CHI,TEN,14,21
2008,10,DET,JAC,14,38
2008,10,MIA,SEA,21,19
2008,10,MIN,GB,28,27
2008,10,NE,BUF,20,10
2008,10,NYJ,STL,47,3
2008,10,HOU,BAL,13,41
2008,10,OAK,CAR,6,17
2008,10,PIT,IND,20,24
2008,10,SD,KC,20,19
2008,10,PHI,NYG,31,36
2008,10,ARI,SF,29,24
2008,11,NE,NYJ,31,34
2008,11,ATL,DEN,20,24
2008,11,CIN,PHI,13,13
2008,11,GB,CHI,37,3
2008,11,IND,HOU,33,27
2008,11,KC,NO,20,30
2008,11,MIA,OAK,17,15
2008,11,NYG,BAL,30,10
2008,11,TB,MIN,19,13
2008,11,CAR,DET,31,22
2008,11,SF,STL,35,16
2008,11,SEA,ARI,20,26
2008,11,PIT,SD,11,10
2008,11,JAC,TEN,14,24
2008,11,WAS,DAL,10,14
2008,11,BUF,CLE,27,29
2008,12,PIT,CIN,27,10
2008,12,CLE,HOU,6,16
2008,12,DAL,SF,35,22
2008,12,DET,TB,20,38
2008,12,TEN,NYJ,13,34
2008,12,KC,BUF,31,54
2008,12,STL,CHI,3,27
2008,12,MIA,NE,28,48
2008,12,JAC,MIN,12,30
2008,12,BAL,PHI,36,7
2008,12,DEN,OAK,10,31
2008,12,ATL,CAR,45,28
2008,12,ARI,NYG,29,37
2008,12,SEA,WAS,17,20
2008,12,SD,IND,20,23
2008,12,NO,GB,51,29
2008,13,DET,TEN,10,47
2008,13,DAL,SEA,34,9
2008,13,PHI,ARI,48,20
2008,13,BUF,SF,3,10
2008,13,CIN,BAL,3,34
2008,13,CLE,IND,6,10
2008,13,GB,CAR,31,35
2008,13,STL,MIA,12,16
2008,13,TB,NO,23,20
2008,13,WAS,NYG,7,23
2008,13,SD,ATL,16,22
2008,13,OAK,KC,13,20
2008,13,NE,PIT,10,33
2008,13,NYJ,DEN,17,34
2008,13,MIN,CHI,34,14
2008,13,HOU,JAC,30,17
2008,14,SD,OAK,34,7
2008,14,CHI,JAC,23,10
2008,14,DET,MIN,16,20
2008,14,GB,HOU,21,24
2008,14,TEN,CLE,28,9
2008,14,IND,CIN,35,3
2008,14,NO,ATL,29,25
2008,14,NYG,PHI,14,20
2008,14,BUF,MIA,3,16
2008,14,DEN,KC,24,17
2008,14,SF,NYJ,24,14
2008,14,SEA,NE,21,24
2008,14,ARI,STL,34,10
2008,14,PIT,DAL,20,13
2008,14,BAL,WAS,24,10
2008,14,CAR,TB,38,23
2008,15,CHI,NO,27,24
2008,15,ATL,TB,13,10
2008,15,CIN,WAS,20,13
2008,15,IND,DET,31,21
2008,15,KC,SD,21,22
2008,15,STL,SEA,20,23
2008,15,MIA,SF,14,9
2008,15,NYJ,BUF,31,27
2008,15,JAC,GB,20,16
2008,15,HOU,TEN,13,12
2008,15,ARI,MIN,14,35
2008,15,OAK,NE,26,49
2008,15,CAR,DEN,30,10
2008,15,BAL,PIT,9,13
2008,15,DAL,NYG,20,8
2008,15,PHI,CLE,30,10
2008,16,JAC,IND,24,31
2008,16,DAL,BAL,24,33
2008,16,CLE,CIN,0,14
2008,16,DET,NO,7,42
2008,16,TEN,PIT,31,14
2008,16,KC,MIA,31,38
2008,16,STL,SF,16,17
2008,16,NE,ARI,47,7
2008,16,TB,SD,24,41
2008,16,DEN,BUF,23,30
2008,16,OAK,HOU,27,16
2008,16,SEA,NYJ,13,3
2008,16,MIN,ATL,17,24
2008,16,WAS,PHI,10,3
2008,16,NYG,CAR,34,28
2008,16,CHI,GB,20,17
2008,17,ATL,STL,31,27
2008,17,BUF,NE,0,13
2008,17,CIN,KC,16,6
2008,17,GB,DET,31,21
2008,17,IND,TEN,23,0
2008,17,MIN,NYG,20,19
2008,17,NO,CAR,31,33
2008,17,PIT,CLE,31,0
2008,17,TB,OAK,24,31
2008,17,HOU,CHI,31,24
2008,17,NYJ,MIA,17,24
2008,17,PHI,DAL,44,6
2008,17,ARI,SEA,34,21
2008,17,SF,WAS,27,24
2008,17,BAL,JAC,27,7
2008,17,SD,DEN,52,21
